Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Status
ai-builder-hoodie,AI Builder Hoodie,"<p>Premium hoodie for AI-powered developers. Made with soft, breathable fabric perfect for long coding sessions. Stay comfortable while building the future with AI.</p>",The Merch Concept,Apparel & Accessories > Clothing,Hoodies,"ai, developer, hoodie, programming, builder",TRUE,Size,S,,,,,LVB-HOODIE-AI-S,500,shopify,50,deny,manual,59.99,,TRUE,TRUE,,,,,FALSE,AI Builder Hoodie - Premium Developer Hoodie,Premium hoodie for AI-powered developers. Perfect for coding sessions.,Apparel & Accessories > Clothing > Activewear > Hoodies,Unisex,Adult,LVB-HOODIE-AI,Hoodies,Developer Merchandise,new,FALSE,Featured,Hoodies,Developer,AI,Premium,,,lb,,TRUE,59.99,,active
ai-builder-hoodie,AI Builder Hoodie,"<p>Premium hoodie for AI-powered developers. Made with soft, breathable fabric perfect for long coding sessions. Stay comfortable while building the future with AI.</p>",The Merch Concept,Apparel & Accessories > Clothing,Hoodies,"ai, developer, hoodie, programming, builder",TRUE,Size,M,,,,,LVB-HOODIE-AI-M,500,shopify,50,deny,manual,59.99,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,,lb,,TRUE,59.99,,active
ai-builder-hoodie,AI Builder Hoodie,"<p>Premium hoodie for AI-powered developers. Made with soft, breathable fabric perfect for long coding sessions. Stay comfortable while building the future with AI.</p>",The Merch Concept,Apparel & Accessories > Clothing,Hoodies,"ai, developer, hoodie, programming, builder",TRUE,Size,L,,,,,LVB-HOODIE-AI-L,500,shopify,50,deny,manual,59.99,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,,lb,,TRUE,59.99,,active
ai-builder-hoodie,AI Builder Hoodie,"<p>Premium hoodie for AI-powered developers. Made with soft, breathable fabric perfect for long coding sessions. Stay comfortable while building the future with AI.</p>",The Merch Concept,Apparel & Accessories > Clothing,Hoodies,"ai, developer, hoodie, programming, builder",TRUE,Size,XL,,,,,LVB-HOODIE-AI-XL,500,shopify,50,deny,manual,59.99,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,,lb,,TRUE,59.99,,active
ai-builder-hoodie,AI Builder Hoodie,"<p>Premium hoodie for AI-powered developers. Made with soft, breathable fabric perfect for long coding sessions. Stay comfortable while building the future with AI.</p>",The Merch Concept,Apparel & Accessories > Clothing,Hoodies,"ai, developer, hoodie, programming, builder",TRUE,Size,XXL,,,,,LVB-HOODIE-AI-XXL,500,shopify,30,deny,manual,59.99,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,,lb,,TRUE,59.99,,active
chat-ai-tee,Chat with AI Tee,<p>Comfortable t-shirt celebrating AI builders. Show your passion for building with AI. Perfect for everyday wear and tech meetups.</p>,The Merch Concept,Apparel & Accessories > Clothing,T-Shirts,"ai, tshirt, developer, chat, builder",TRUE,Size,S,,,,,LVB-TEE-CHAT-S,200,shopify,100,deny,manual,29.99,,TRUE,TRUE,,,,,FALSE,Chat with AI Tee - Developer T-Shirt,Comfortable t-shirt for AI builders and developers.,Apparel & Accessories > Clothing > Shirts & Tops,Unisex,Adult,LVB-TEE-CHAT,T-Shirts,Developer Merchandise,new,FALSE,Featured,T-Shirts,Developer,AI,,,,lb,,TRUE,29.99,,active
chat-ai-tee,Chat with AI Tee,<p>Comfortable t-shirt celebrating AI builders. Show your passion for building with AI. Perfect for everyday wear and tech meetups.</p>,The Merch Concept,Apparel & Accessories > Clothing,T-Shirts,"ai, tshirt, developer, chat, builder",TRUE,Size,M,,,,,LVB-TEE-CHAT-M,200,shopify,100,deny,manual,29.99,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,,lb,,TRUE,29.99,,active
chat-ai-tee,Chat with AI Tee,<p>Comfortable t-shirt celebrating AI builders. Show your passion for building with AI. Perfect for everyday wear and tech meetups.</p>,The Merch Concept,Apparel & Accessories > Clothing,T-Shirts,"ai, tshirt, developer, chat, builder",TRUE,Size,L,,,,,LVB-TEE-CHAT-L,200,shopify,100,deny,manual,29.99,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,,lb,,TRUE,29.99,,active
chat-ai-tee,Chat with AI Tee,<p>Comfortable t-shirt celebrating AI builders. Show your passion for building with AI. Perfect for everyday wear and tech meetups.</p>,The Merch Concept,Apparel & Accessories > Clothing,T-Shirts,"ai, tshirt, developer, chat, builder",TRUE,Size,XL,,,,,LVB-TEE-CHAT-XL,200,shopify,100,deny,manual,29.99,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,,lb,,TRUE,29.99,,active
chat-ai-tee,Chat with AI Tee,<p>Comfortable t-shirt celebrating AI builders. Show your passion for building with AI. Perfect for everyday wear and tech meetups.</p>,The Merch Concept,Apparel & Accessories > Clothing,T-Shirts,"ai, tshirt, developer, chat, builder",TRUE,Size,XXL,,,,,LVB-TEE-CHAT-XXL,200,shopify,50,deny,manual,29.99,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,,lb,,TRUE,29.99,,active
