Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Status
ai-builder-hoodie,AI Builder Hoodie,Premium hoodie for AI-powered developers. Made with soft breathable fabric perfect for long coding sessions.,The Merch Concept,Hoodies,"ai, developer, hoodie, programming",TRUE,Size,S,LVB-HOODIE-AI-S,500,shopify,50,continue,manual,59.99,TRUE,TRUE,active
ai-builder-hoodie,AI Builder Hoodie,Premium hoodie for AI-powered developers. Made with soft breathable fabric perfect for long coding sessions.,The Merch Concept,Hoodies,"ai, developer, hoodie, programming",TRUE,Size,M,LVB-HOODIE-AI-M,500,shopify,50,continue,manual,59.99,TRUE,TRUE,active
ai-builder-hoodie,AI Builder Hoodie,Premium hoodie for AI-powered developers. Made with soft breathable fabric perfect for long coding sessions.,The Merch Concept,Hoodies,"ai, developer, hoodie, programming",TRUE,Size,L,LVB-HOODIE-AI-L,500,shopify,50,continue,manual,59.99,TRUE,TRUE,active
ai-builder-hoodie,AI Builder Hoodie,Premium hoodie for AI-powered developers. Made with soft breathable fabric perfect for long coding sessions.,The Merch Concept,Hoodies,"ai, developer, hoodie, programming",TRUE,Size,XL,LVB-HOODIE-AI-XL,500,shopify,50,continue,manual,59.99,TRUE,TRUE,active
ai-builder-hoodie,AI Builder Hoodie,Premium hoodie for AI-powered developers. Made with soft breathable fabric perfect for long coding sessions.,The Merch Concept,Hoodies,"ai, developer, hoodie, programming",TRUE,Size,XXL,LVB-HOODIE-AI-XXL,500,shopify,30,continue,manual,59.99,TRUE,TRUE,active
chat-ai-tee,Chat with AI Tee,Comfortable t-shirt celebrating AI builders. Perfect for everyday wear and tech meetups.,The Merch Concept,T-Shirts,"ai, tshirt, developer",TRUE,Size,S,LVB-TEE-CHAT-S,200,shopify,100,continue,manual,29.99,TRUE,TRUE,active
chat-ai-tee,Chat with AI Tee,Comfortable t-shirt celebrating AI builders. Perfect for everyday wear and tech meetups.,The Merch Concept,T-Shirts,"ai, tshirt, developer",TRUE,Size,M,LVB-TEE-CHAT-M,200,shopify,100,continue,manual,29.99,TRUE,TRUE,active
chat-ai-tee,Chat with AI Tee,Comfortable t-shirt celebrating AI builders. Perfect for everyday wear and tech meetups.,The Merch Concept,T-Shirts,"ai, tshirt, developer",TRUE,Size,L,LVB-TEE-CHAT-L,200,shopify,100,continue,manual,29.99,TRUE,TRUE,active
chat-ai-tee,Chat with AI Tee,Comfortable t-shirt celebrating AI builders. Perfect for everyday wear and tech meetups.,The Merch Concept,T-Shirts,"ai, tshirt, developer",TRUE,Size,XL,LVB-TEE-CHAT-XL,200,shopify,100,continue,manual,29.99,TRUE,TRUE,active
chat-ai-tee,Chat with AI Tee,Comfortable t-shirt celebrating AI builders. Perfect for everyday wear and tech meetups.,The Merch Concept,T-Shirts,"ai, tshirt, developer",TRUE,Size,XXL,LVB-TEE-CHAT-XXL,200,shopify,50,continue,manual,29.99,TRUE,TRUE,active
